Number,Youtube_link,Subject,title,channel,description,length,publish_date,views,error
1,https://www.youtube.com/watch?v=tOaMRG8DX3U,An AI Agent that knows everything about your Projects & Portfolios,An AI Agent that knows everything about your Projects & Portfolios,ServiceNow Community,"Supercharge Your Project Management with AI!

In this video, I’ll demonstrate how to build an AI Agent in ServiceNow using the Now Assist Skill Kit (NASK) to provide instant answers about your Portfol",738.0,20250221,1091.0,
2,https://www.youtube.com/watch?v=vteLoWpNw8Q,What Is Agentic AI and Why Should I Care?,What Is Agentic AI and Why Should I Care?,ServiceNow Community,"In today’s solo-Lauren episode of Break Point, we will be diving into the hottest topic on the market - Agentic AI - specifically what it is, how it's being utilized on the ServiceNow platform, and wh",1158.0,20250124,1945.0,
3,https://www.youtube.com/watch?v=7WJ6lmxa1WQ,Agentic AI workflows for AIOps,Agentic AI workflows for AIOps,ServiceNow Community,"In this episode, we explore the transformative impact of agentic AI frameworks on IT operations and AIOps with Rani Tzur, Director Product Management. Discover how agentic AI can enhance decision-maki",995.0,20250518,411.0,
4,https://www.youtube.com/watch?v=fqB-NcZmqXo,ServiceNow's agentic AI framework explained: What you need to know,ServiceNow's agentic AI framework explained: What you need to know,ServiceNow Community,"In this episode, we explore how ServiceNow’s Agentic AI / AI Agent framework is revolutionizing enterprise workflows. Joined by Victor Chen, Outbound Product Manager at ServiceNow, we dive into how AI",946.0,20250312,4158.0,
5,https://www.youtube.com/watch?v=ZYJqkxGrNiI,AI and Business Agility: Enhancing Human Intelligence,AI and Business Agility: Enhancing Human Intelligence,ServiceNow Community,"In this episode of the ServiceNow Enterprise Agility Podcast, host Fred Champlain, ServiceNow Agile Evangelist, talks with Richard Knaster, a SAFe Fellow and author of The Lean Agile Way, about AI’s t",730.0,20241022,60.0,
6,https://www.youtube.com/watch?v=kQV6g8Vbbfc,Creating an agentic AI framework for observability,Creating an agentic AI framework for observability,ServiceNow Community,"In this episode, we'll discuss the practical applications of Agentic AI in IT operations. You will learn how various observability AI agents can interact to solve specific use cases. Reach out to us i",784.0,20250227,486.0,
7,https://www.youtube.com/watch?v=ThW6lPyYgYk,Creating Multimedia Content at Scale with AI,Creating Multimedia Content at Scale with AI,ServiceNow Community,"In this episode, ServiceNow’s multimedia team—Dana Haines, Macy Douglas, and Bobby Brill—discuss the process of creating high-quality video content for the company’s documentation site and YouTube cha",930.0,20250226,113.0,
8,https://www.youtube.com/watch?v=XUKTyE2YtHc&list=PLh-u-epknspBswAAKG0EfPHyV6gcVVOhK,Convert PDF into PowerPoint Presentations for FREE using AI,AI for Diagramming,Gurru Tech Solutions,"Master the art of creating clear and professional diagrams using AI-powered tools. This course will guide you through designing flowcharts, mind maps, organizational charts, and more—quickly and effor",,,4732.0,
9,https://www.youtube.com/watch?v=K6z4c256gzI,Service offerings to help your organization achieve its business needs,Service offerings to help your organization achieve its business needs,ServiceNow Community,"In this episode, we chat with one of our service portfolio managers to learn about the service offerings available to help you get the most value from the ServiceNow platform.
 

Have a question or co",1012.0,20240910,298.0,
10,https://www.youtube.com/watch?v=it1hcs5S1ks,Digital & AI transformation in the Public Sector,Digital & AI transformation in the Public Sector,ServiceNow Community,"In this episode of the ServiceNow Executive Circle podcast, Gina Gill, Chief Strategy Officer at the Governments Central Digital and Data Office (CDDO), discusses how technology transformation offers ",1136.0,20240911,154.0,
11,https://www.youtube.com/watch?v=x4ZvT7ZmxaI,Maximising the Minutes on AI: Agentic AI and the Next Wave of Business Transformation,Maximising the Minutes on AI: Agentic AI and the Next Wave of Business Transformation,ServiceNow Community,"In the fourth and final episode of our mini-series, Adam Spearing, Head of AI Innovation for EMEA at ServiceNow, explores the transformative potential of agentic AI. Adam breaks down the concept of AI",1001.0,20250113,315.0,
12,https://www.youtube.com/watch?v=Rx65d0ofz8I,AI Search - ServiceNow {GenAI Inside Track} Now Assist for IT,AI Search  - ServiceNow {GenAI Inside Track}   Now Assist for IT,ServiceNow Community,"Get the inside track on ServiceNow's GenAI /Now Assist for IT.    

Four questions in four minutes on ServiceNows Now Assist for search functionality.
Lets go!

Episode 9 - AI Search (Gerard D)

00:26",313.0,20240416,572.0,
13,https://www.youtube.com/watch?v=kQV6g8Vbbfc,Creating an agentic AI framework for observability,Creating an agentic AI framework for observability,ServiceNow Community,"In this episode, we'll discuss the practical applications of Agentic AI in IT operations. You will learn how various observability AI agents can interact to solve specific use cases. Reach out to us i",784.0,20250227,486.0,
14,https://www.youtube.com/watch?v=it1hcs5S1ks&t=27s,Digital & AI transformation in the Public Sector,Digital & AI transformation in the Public Sector,ServiceNow Community,"In this episode of the ServiceNow Executive Circle podcast, Gina Gill, Chief Strategy Officer at the Governments Central Digital and Data Office (CDDO), discusses how technology transformation offers ",1136.0,20240911,154.0,
15,https://www.youtube.com/watch?v=j_PVU9hJTh8,Episode Eleven: Experian - Putting AI and automation to work ,Episode Eleven: Experian - Putting AI and automation to work,ServiceNow Community,Unlocking the full potential of AI and automation is no longer about streamlining tasks — it's about reimagining entire processes. That’s why global information services company Experian is transformi,705.0,20240626,121.0,
16,https://www.youtube.com/watch?v=mSYdZW_D67o,Unlocking Service Operations with AI: Insights from Carey Blunt,Unlocking Service Operations with AI: Insights from Carey Blunt,ServiceNow Community,"In this episode, host CK Tan interviews Carey Blunt, the Global Head of ServiceNow Solutions at Fujitsu. Together, they dive into the world of service operations, AI integration, and the convergence o",870.0,20240723,55.0,
17,https://www.youtube.com/watch?v=eFMeZto6yMg,SPM Academy: Now Assist and AI Agents for SPM,SPM Academy: Now Assist and AI Agents for SPM,ServiceNow Community,"Learn how business users, product managers, project managers and delivery teams can drive value faster with Now Assist for SPM!  See how you can intelligently summarize product feedback and automatica",1817.0,20250331,354.0,
18,https://www.youtube.com/watch?v=KSWNDuKn9t0,IT Operations Management (ITOM): Predictive AIOps & Event Management,IT Operations Management (ITOM): Predictive AIOps & Event Management | Full Demo,ServiceNow Community,"Learn how ServiceNow’s IT Operations (ITOM) enables teams to work and interact with the information they need in an intuitive and responsive way, all from a consolidated and interactive workspace. See",564.0,20230725,8765.0,
19,https://www.youtube.com/watch?v=WyQTP0AA1VU,"AI-Powered Service Operations Part 2 - collaborate, deflect and resolve","AI-Powered Service Operations Part 2 - collaborate, deflect and resolve",ServiceNow Community,See how ITOM and ITSM can be leveraged together to help teams predict and resolve issues while keeping customers and stakeholders informed along the way. Part 2 of 2.,382.0,20220615,445.0,
20,https://www.youtube.com/watch?v=E6m8UuVhIzw,Build AI-Infused Custom Apps with Now Assist for App Engine,Build AI-Infused Custom Apps with Now Assist for App Engine,ServiceNow Community,"By integrating AI skills and adaptive agents into runtime environments, Now Assist for App Engine enhances productivity, streamlines workflows, and delivers smarter, more efficient app experiences.

S",319.0,20250603,248.0,
21,https://www.youtube.com/watch?v=_2IG1CX2y6g,Task Intelligence for ITSM,Task Intelligence for ITSM,ServiceNow Community,"Use AI to predict incident fields, enabling agents to focus on resolution and spend less filling in the field information. Automate incident resolution and provide better service and experiences for y",1606.0,20230907,6519.0,
22,https://www.youtube.com/watch?v=a0fllfx_fmg&list=PLkGSnjw5y2U407_1UQQaVVrD13-MFi5ia&index=22,What's new in Washington DC for Document Intelligence (AI Academy),,,,,,,ERROR: [youtube] VFGAvNxaK4Q: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
