video_id,chunk_id,text,subject
1,1_0,hey folk how you doing chris thanky here and id like to welcome you to this session where i plan to show you the greatest feature ive ever implemented in my entire life it only took me a couple hour im going to show it to you in probably about 10 minute and by the end of it you can implement it yourself because it is actually incredibly easy to do now that were in this new world of ai agent and llm in using our lowcode nocode flow designer so ill go ahead and well start by showing you the demo of just what it is and youll get to see why i think it is so incredible and cool so what were looking at right now is a portfolio record in service now we have project management were calling it service portfolio management a well but you have this idea of these portfolio then underneath these portfolio youre going to have thing like demand and project and issue and in those project youre going to have status report so it just this ton and ton of info and a customer comment they had said well,An AI Agent that knows everything about your Projects & Portfolios
1,1_1,and issue and in those project youre going to have status report so it just this ton and ton of info and a customer comment they had said well what could we do could you do something where my project manager come in on a monday and we wanted to know what they need to pay attention to and we put that in place and thats this portfolio we can review but then i wa thinking about it and it really wasnt that much of a step to just make it so that we could ask it anything and get any answer out of it so in this example ive added two new field to this form you could do this in any way you want to i just like thing easy so i added a question and an answer field in the form so what happens is when i type a question in here and then i hit my portfolio answer button it sends all the information not all the information it sends key information from the project the project status report any issue that have happened and it sends all of those to the llm and then i can basically ask it any question it,An AI Agent that knows everything about your Projects & Portfolios
1,1_2,project the project status report any issue that have happened and it sends all of those to the llm and then i can basically ask it any question it sort of turn it all into a gigantic retrieval augmented generation system so let see what that would look like in practice so now i gave that example that i mentioned where the customer want to know what should i pay attention to when i come in next week and what it doing again is it grabbing all the information it sending it to the llm the llm is processing and aggregating it using the context that we provided and it gone ahead and now it unright so it kind of given u information on each project it helped u understand where to direct our attention and can you imagine if you had to go down into each of these project and review all the status report and pull all this information out it would just be it would be crazy right it would take you forever but here weve done it in an instant now in this example i can see that our evaluation tool ha,An AI Agent that knows everything about your Projects & Portfolios
1,1_3,be it would be crazy right it would take you forever but here weve done it in an instant now in this example i can see that our evaluation tool ha encountered some licensing issue okay well im kind of curious whats going on with those so maybe ill ask it more so whats up with the licensing issue on the ebail tool project conversationally even with some misspelling it sending that information it interpreting it it aggregating it and now it pulled back because again it know whats in the status report right so it know whats in everything and we can pull this information out and i can see ah it been escalated over to beth in legal oh fantastic but you know what i wonder are we getting kind of dependent on legal i wonder how often are we having to escalate to legal how often are we doing it imagine you going to your analytics your reporting person and asking him this question and asking him to extract it here we just click a button and instantly we find out that actually thats the only,An AI Agent that knows everything about your Projects & Portfolios
1,1_4,person and asking him this question and asking him to extract it here we just click a button and instantly we find out that actually thats the only time weve had to do it so thats good weve had some licensing issue but really thats the only time weve had to escalate to legal so thats fantastic but these are just some example of question you can ask it anything you want about it should we consider consolidating any project i dont should we are there some project maybe that are behind or low roi that we should consider consolidating now im not going to trust the llm to answer this im not going to put an auto button and have the llm start doing this but it tell u where to look it tell u area where we can have some focus and you can see here weve got some now this is all demo data right so weve got some project with no potential return other one that maybe consolidated to the project manager it doe still stay down here because our llm is looking out for you right you definitely need to go,An AI Agent that knows everything about your Projects & Portfolios
1,1_5,one that maybe consolidated to the project manager it doe still stay down here because our llm is looking out for you right you definitely need to go and look at this yourself but now you know where to look and i can even put in something like you know list every project project the project manager manager and the plan start date in json format so not only can i get information can it help me understand why i need to look and it act a my sort of de facto reporting tool now i can even have it for that stuff for me so it can help me to extract that data in way that might be beneficial to me so amazing feature and again it only took me a couple hour to implement and so let look at how we do that now what i mentioned is that we have this portfolio record and it got project in it and it got all these different thing so what we need to do is we need to bring back information and data from these to give it to the llm so if you think about it in your mind we need to sort of create a big,An AI Agent that knows everything about your Projects & Portfolios
1,1_6,is we need to bring back information and data from these to give it to the llm so if you think about it in your mind we need to sort of create a big variable where were just gon na put all this data so that we can give it over the llm and the llm can do it processing now if i come down here and i look at one of these individual project youre gon na wan na youre gon na wan na sit down in your data youre gon na wan na look at your data youre gon na wan na look at what field are you using what field are you not using what field are you using inconsistently you know when youre looking at your data you might not be happy no one happy with their data there always something missing there never anything great what youre really looking for field that are used consistently and that especially or field that have free text to be entered so something like the business case thats a great field of process definitely if youre putting in financials you wan na try to bring those in so you could ask,An AI Agent that knows everything about your Projects & Portfolios
1,1_7,like the business case thats a great field of process definitely if youre putting in financials you wan na try to bring those in so you could ask question about financials but basically you wan na get an understanding of what are the field that are relevant on the project that you would wan na ask these question about and then you create a flow this is a subflow no coding is required basically what you do is you start with your input right and our input think about it were at that portfolio so our input is gon na be that portfolio thats the first input and then our output is gon na be this big gigantic string that i wa talking about so once we have our input and output you then go into a lookup record plural not singular lookup record so you look up your project record and you look those up where the portfolio is that input variable so you got initial input variable i just dragged that over there that became my input so now it only gon na find me project related to that portfolio and,An AI Agent that knows everything about your Projects & Portfolios
1,1_8,got initial input variable i just dragged that over there that became my input so now it only gon na find me project related to that portfolio and then i order them by plan start date then we need to do a flow action where we go through each record so we say for each item in our lookup record were gon na set a flow variable and this is where all the magic happens right so this is where weve got our flow variable that we create so you come over here and you go to flow variable and youre gon na wan na create a flow variable in my case i called it aggregated response and again it a string we set it to the output at the end but right now it just a flow variable and then were gon na set that flow variable so a it go through each project it gon na grab the name of the project manager it gon na grab the status state business case all of these relevant field and again you can put more field in the one thing you wan na do you wan na have your flow variable at the top so a it cycle through each,An AI Agent that knows everything about your Projects & Portfolios
1,1_9,field and again you can put more field in the one thing you wan na do you wan na have your flow variable at the top so a it cycle through each it continues to concatmate or sort of cycle after the next one so that you get all your data and then in the end what you have is this gigantic string of data and then you assign that to your output so our output is in our aggregated response so again were going through the project were pulling out relevant data field were writing those data field into a string and then were returning that string a the output so where are we gon na use the output you might ask well that is over in our skill kit skill so here is the portfolio answer skill kit this is where all the magic happens now i have a couple input you can see ive got the question a an input my field and then ive also got the portfolio record itself so ive got two different input input are when you know the value ahead of time tool are when you need to bring in the value when you need to,An AI Agent that knows everything about your Projects & Portfolios
1,1_10,itself so ive got two different input input are when you know the value ahead of time tool are when you need to bring in the value when you need to pull it in so you can see here ive got my get issue portfolio what we were just looking at get project for portfolio and i also have get status report for portfolio i could have combined these into one i broke them up because you know it seemed like a thing to do at the time but i could have combined them into one but you can see here it going for our get portfolio for get project for portfolio and my input value here is my sysid so that tie it all together when this run it gon na take that sysid from that original portfolio record and it gon na find the correct value in the information we want now over here is my prompt and i use the prompt assistance to write that prompt and then i just put in the different piece so youre basically answering question here the question then i have the name of the portfolio then i put in here the project,An AI Agent that knows everything about your Projects & Portfolios
1,1_11,in the different piece so youre basically answering question here the question then i have the name of the portfolio then i put in here the project record here are the associated status report and then here are the different potential issue and then i give it the instruction you know review the information and thats it then pretty much youre good to go once you activate it oh sorry there is one step you need to create the deployment ui action so when you come over here to the ui action youre gon na do something just a little bit different because we need our question a our input and then we need to write our value back to the answer so over here in our portfolio answer you can see over here is where i say the question is the current value of the new question field so im telling you what these different input value are by setting it off of the current portfolio record where we input that question onto the screen then down here were writing our response but you can see ive got it going,An AI Agent that knows everything about your Projects & Portfolios
1,1_12,the current portfolio record where we input that question onto the screen then down here were writing our response but you can see ive got it going into the answer field so it sends the query to the llm it get the information back writes it to the answer and then it update the ticket and thats it once youve finished publishing the skill you do need to go over to the now assist admin section and activate it from there so dont forget that very important step you go over here to our now assist admin i think it under experience oh no itll show up under feature other unless you put something else here you would just select it and then you just walk through the activation process it really easy you just click to thing it then set it active and this will change your ui action to active a well so you dont need to change the ui action this will go ahead and do it when you activate it so good luck hopefully itll be a straightforward for you a it wa for me if you have any question please feel,An AI Agent that knows everything about your Projects & Portfolios
1,1_13,go ahead and do it when you activate it so good luck hopefully itll be a straightforward for you a it wa for me if you have any question please feel free to post or reach out and good luck thanks everybody,An AI Agent that knows everything about your Projects & Portfolios
2,2_0,in today solo lauren episode of the breakpoint podcast we will be diving into the hottest topic on the market for both service now and tech in general a genetic ai specifically what the heck it even is how it being used on service now and frankly why you should care a lot a a developer in 2025 welcome to breakpoint the service now developer podcast hello service now admins builder developer and curious individual that i say with the utmost love and respect welcome to or welcome back to the breakpoint podcast the service now developer podcasts where we bring you all the latest tool tip and trade craft to accelerate your developer career my name is laura mcmahon and happy new year hopefully it not too late to say that quite quite yet im very excited to be here i hope everyone is having a awesome start to their 2025 and i figure you know we might a well do i guess what appears to be the quarterly solo lauren episode of the podcast my 2025 so far ha been off to a ridiculously roller,What Is Agentic AI and Why Should I Care?
2,2_1,we might a well do i guess what appears to be the quarterly solo lauren episode of the podcast my 2025 so far ha been off to a ridiculously roller coaster start not gon na lie we started off really high going on the awesome cruise all my closest girlfriend that wa amazing head a little bit of a peek when i got some really nasty flu followed by bronchitis but you know what were bringing back up because of high estate just one national championship so what more could i ask for a a columbus native work wise weve also had a tremendous amount of progress already if you want to hear a little bit of how the sausage is made weve already started kicking off all the internal production regime for knowledge 25 it hard to believe it that knowledge is approximately 70 ish work day away so it leaf u what seems to be a large amount of time but itd be quickly quickly absolved by all the work that ha to be done in fact one thing that i thought would be kind of fun to do this year wa kind of micro blog,What Is Agentic AI and Why Should I Care?
