Number,Youtube_link,Subject,title,channel,description,length,publish_date,views,error,transcript
1,https://www.youtube.com/watch?v=tOaMRG8DX3U,An AI Agent that knows everything about your Projects & Portfolios,An AI Agent that knows everything about your Projects & Portfolios,ServiceNow Community,"Supercharge Your Project Management with AI!

In this video, I’ll demonstrate how to build an AI Agent in ServiceNow using the Now Assist Skill Kit (NASK) to provide instant answers about your Portfol",738.0,20250221,1063.0,," Hey folks, how you doing Chris Thanky here? And I'd like to welcome you to this session where I plan to show you the greatest feature I've ever implemented in my entire life. It only took me a couple hours. I'm going to show it to you in probably about 10 minutes. And by the end of it, you can implement it yourself because it is actually incredibly easy to do. Now that we're in this new world of AI agents and LLM in using our low-code, no-code flow designer. So I'll go ahead and we'll start by showing you the demo of just what it is. And you'll get to see why I think it is so incredible and cool. So what we're looking at right now is a portfolio record. In service now, we have project management. We're calling it service portfolio management as well. But you have this idea of these portfolios. Then underneath these portfolios, you're going to have things like demands and projects and issues. And in those projects, you're going to have status report. So it's just this ton and ton of info. And a customer comment they had said, well, what could we do? Could you do something where my project manager comes in on a Monday, and we wanted to know what they need to pay attention to? And we put that in place. And that's this portfolio we can review. But then I was thinking about it. And it really wasn't that much of a step to just make it so that we could ask it anything and get any answer out of it. So in this example, I've added two new fields to this form. You could do this in any way. You want to. I just like things easy. So I added a question and an answer field in the form. So what happens is when I type a question in here, and then I hit my portfolio answers button, it sends all the information, not all the information. It sends key information from the projects, the project status reports, any issues that have happened. And it sends all of those to the LLM. And then I can basically ask it any question. It sort of turns it all into a gigantic retrieval augmented generation system. So let's see what that would look like in practice. So now I gave that example that I mentioned where the customer wants to know, what should I pay attention to when I come in next week. And what it's doing again is it's grabbing all the information. It's sending it to the LLM. The LLM is processing and aggregating it, using the context that we provided. And it's gone ahead and now it's unright. So it's kind of given us information on each project, it's helped us understand where to direct our attention. And can you imagine if you had to go down into each of these projects and review all the status reports and pull all this information out? It would just be, it would be crazy, right? It would take you forever. But here we've done it in an instant. Now in this example, I can see that our evaluation tools has encountered some licensing issues. Okay, well I'm kind of curious what's going on with those. So maybe I'll ask it more. So what's up with the licensing issues on the eBail tools project? Conversationally, even with some misspellings, it's sending that information, it's interpreting it, it's aggregating it, and now it's pulled back. Because again, it knows what's in the status reports, right? So it's knows what's in everything. And we can pull this information out and I can see, ah, it's been escalated over to Beth, in legal. Oh, fantastic. But you know what, I wonder, are we getting kind of dependent on legal? I wonder how often are we having to escalate to legal? How often are we doing it? Imagine you going to your analytics, your reporting person and asking him this question and asking him to extract it. Here we just click a button and instantly we find out that actually that's the only time we've had to do it. So that's good. We've had some licensing issues, but really that's the only time we've had to escalate to legal. So that's fantastic. But these are just some examples of questions. You can ask it anything you want about it. Should we consider consolidating any projects? I don't, should we? Are there some projects maybe that are behind or low ROI that we should consider consolidating? Now I'm not going to trust the LLM to answer this. I'm not going to put an auto button and have the LLM start doing this, but it tells us where to look. It tells us areas where we can have some focus. And you can see here we've got some, now this is all demo data, right? So we've got some projects with no potential return, other ones that maybe consolidated to the project managers. It does still stay down here because our LLM is looking out for you, right? You definitely need to go and look at this yourself, but now you know where to look. And I can even put in something like, you know, list every project project, the project manager, manager and the plan start date in JSON format. So not only can I get information, can it help me understand why I need to look, and it act as my sort of de facto reporting tool, now I can even have it for that stuff for me. So it can help me to extract that data in ways that might be beneficial to me. So amazing feature. And again, it only took me a couple hours to implement. And so let's look at how we do that. Now what I mentioned is that we have this portfolio record and it's got projects in it and it's got all these different things. So what we need to do is we need to bring back information and data from these to give it to the LLM. So if you think about it in your mind, we need to sort of create a big variable where we're just gonna put all this data so that we can give it over the LLM and the LLM can do its processing. Now if I come down here and I look at one of these individual projects, you're gonna wanna, you're gonna wanna sit down in your data, you're gonna wanna look at your data, you're gonna wanna look at what fields are you using, what fields are you not using, what fields are you using inconsistently. You know, when you're looking at your data, you might not be happy, no one's happy with their data. There's always something missing, there's never anything great. What you're really looking for fields that are used consistently and that, especially or fields that have free text to be entered. So something like the business case, that's a great field of process. Definitely if you're putting in financials, you wanna try to bring those in so you could ask questions about financials. But basically you wanna get an understanding of what are the fields that are relevant on the project that you would wanna ask these questions about. And then you create a flow. This is a subflow, no coding is required. Basically what you do is you start with your inputs, right? And our input, think about it, we're at that portfolio, so our input is gonna be that portfolio. That's the first input and then our output is gonna be this big gigantic string that I was talking about. So once we have our inputs and outputs, you then go into a lookup records, plural, not singular, lookup records. So you look up your project records and you look those up where the portfolio is that input variable, so you got initial input variable. I just dragged that over there, that became my input. So now it's only gonna find me projects related to that portfolio. And then I order them by plan start date. Then we need to do a flow action where we go through each record. So we say for each item in our lookup records, we're gonna set a flow variable. And this is where all the magic happens, right? So this is where we've got our flow variable that we create. So you come over here and you go to flow variables and you're gonna wanna create a flow variable. In my case, I called it aggregated response. And again, it's a string. We set it to the output at the end, but right now it's just a flow variable. And then we're gonna set that flow variable. So as it goes through each project, it's gonna grab the name of the project manager, it's gonna grab the status, state, business case, all of these relevant fields. And again, you can put more fields in. The one thing you wanna do, you wanna have your flow variable at the top. So as it cycles through each, it continues to concatmate or sort of cycle after the next one so that you get all your data. And then in the end, what you have is this gigantic string of data. And then you assign that to your output. So our output is in our aggregated response. So again, we're going through the projects. We're pulling out relevant data fields. We're writing those data fields into a string and then we're returning that string as the output. So where are we gonna use the output? You might ask, well, that is over in our skill kit skill. So here is the portfolio answer skill kit. This is where all the magic happens. Now I have a couple inputs. You can see I've got the question as an input, my field. And then I've also got the portfolio record itself. So I've got two different inputs. Inputs are when you know the values ahead of time. Tools are when you need to bring in the value, when you need to pull it in. So you can see here I've got my get issues portfolio. What we were just looking at, get project for portfolio. And I also have get status reports for portfolio. I could have combined these into one. I broke them up because, you know, it seemed like a thing to do at the time. But I could have combined them into one. But you can see here it's going for our get portfolio for, get project for portfolio. And my input value here is my sysid. So that ties it all together when this runs. It's gonna take that sysid from that original portfolio record. And it's gonna find the correct values in the information we want. Now over here is my prompt. And I use the prompt assistance to write that prompt. And then I just put in the different pieces. So you're basically answering questions. Here's the question. Then I have the name of the portfolio. Then I put in here the project records, here are the associated status reports. And then here are the different potential issues. And then I give it the instructions, you know, review the information. And that's it then. Pretty much you're good to go. Once you activate it, oh, sorry, there is one step. You need to create the deployment UI action. So when you come over here to the UI action, you're gonna do something just a little bit different. Because we need our question as our input. And then we need to write our value back to the answer. So over here in our portfolio answers, you can see over here is where I say the question is the current value of the new question field. So I'm telling you what these different input values are by setting it off of the current portfolio record where we input that question onto the screen. Then down here, we're writing our response. But you can see I've got it going into the answer field. So it sends the query to the LLM, it gets the information back, writes it to the answer and then it updates the ticket. And that's it. Once you've finished publishing the skill, you do need to go over to the now assist admin section and activate it from there. So don't forget that very important step. You go over here to our now assist admin. I think it's under experiences. Oh no, it'll show up under features. Other unless you put something else. Here you would just select it and then you just walk through the activation process. It's really easy, you just click to things, it then sets it active. And this will change your UI action to active as well. So you don't need to change the UI action. This will go ahead and do it when you activate it. So good luck. Hopefully it'll be as straightforward for you as it was for me. If you have any questions, please feel free to post or reach out and good luck. Thanks, everybody."
2,https://www.youtube.com/watch?v=vteLoWpNw8Q,What Is Agentic AI and Why Should I Care?,What Is Agentic AI and Why Should I Care?,ServiceNow Community,"In today’s solo-Lauren episode of Break Point, we will be diving into the hottest topic on the market - Agentic AI - specifically what it is, how it's being utilized on the ServiceNow platform, and wh",1158.0,20250124,1936.0,," In today's Solo Lauren episode of the Breakpoint podcast, we will be diving into the hottest topic on the market for both service now and tech in general, a Genetic AI. Specifically, what the heck it even is, how it's being used on service now and frankly why you should care a lot as a developer in 2025. Welcome to Breakpoint, the service now developer podcast. Hello service now admins builders developers and curious individuals that I say with the utmost love and respect. Welcome to or welcome back to the Breakpoint podcast, the service now developer podcasts, where we bring you all the latest tools, tips and trade craft to accelerate your developer career. My name is Laura McMahon and happy new year. Hopefully it's not too late to say that quite quite yet. I'm very excited to be here. I hope everyone is having a awesome start to their 2025 and I figure you know, we might as well do I guess what appears to be the quarterly Solo Lauren episode of the podcast. My 2025 so far has been off to a ridiculously roller coaster start, not gonna lie. We started off really high, going on the awesome cruise, all my closest girlfriends. That was amazing. Head a little bit of a peek when I got some really nasty flu followed by bronchitis. But you know what we're bringing back up because of high estate, just one national championship. So what more could I ask for as a Columbus native work wise. We've also had a tremendous amount of progress already. If you want to hear a little bit of how the sausage is made. We've already started kicking off all the internal production regimes for knowledge 25. It's hard to believe it. That knowledge is approximately 70 ish work days away. So it leaves us what seems to be a large amount of time, but it'd be quickly, quickly absolved by all the work that has to be done. In fact, one thing that I thought would be kind of fun to do this year was kind of micro blog the experience of putting on something like CreatorCon. I figured, you know, maybe people would want to join in. So if you're on LinkedIn, I want to pass you along to the hashtag no25 behind the scenes. I'll link it in the comments down below and things like that and in the production notes. But hey, I'll be posting some micro blog updates of what it's like to put on knowledge. And if you two are creating things for knowledge, whether that's labs or sessions, I would love to see your experience as well. In fact, it could probably help enable a lot of others that maybe have not participated in the knowledge experience before, but might be eyeing it for knowledge 26. On top of this, our team is putting out our first of two tech now webinars next week, where literally one week away, I delayed this episode of breakpoint. So it was exactly one week away from tech now, Yoko Hama. If you have not heard of tech now before, that is the webinar completely dedicated to debuting the newest admin and developer features of the new release. We don't cover everything. We don't cover ITSM and HR and security. That would take hours. It's a 60 minute webinar. But every release we do this, my entire team is involved. Kristi Miriam, Earl Duke, Prana of Bugha. And now Travis Tulson as well. So as a team of five working on the production of tech now as we speak, we have entered into the final week of rehearsals and we have a very exciting show for you. So please register for tech now if you haven't already. Again, I will put the link down below as well as in the show notes. If you are listening to this on Spotify, Apple podcasts, etc. Now, obviously those are just a couple of highlights from my year. But before we dive into the topics, I want to, you know, bring the mood down slightly and just say that my heart is extended to all those currently undergoing the terrible wildfires in the LA area. Obviously that has been horrific to see as a third person perspective here in Texas. So I cannot imagine going through it in real life. My heart goes out to all of you. I know what a huge developer community that we have in California in general. So please, I will also be providing links to donate to help relief from the wildfires in the links down below. And also in these show notes, if you are listening to this and auditory fashion. Now let's bring the move back up a little bit. Let's get things rolling because we have a very exciting topic for today. Now in honor of my solo episode for the quarter, I guess, let's dive straight in today's topic. And it's a topic that is definitely ringing in the ears of anyone currently in tech in this service now ecosystem, especially anyone that is currently, I don't know, watching any form of media in the last four to six weeks. And that is a Genetic AI. If you've tuned into anything on TV, hopefully, like I said, watching the Ohio State Buckais win the National Championship, you've seen Edras Elba talking about a Genetic AI and our new slew of commercials that have come out for service now. Last week, you might have also seen that service now as a company has moved to acquire another company called QIn and in the release information for that headline, it also included the statement of the purpose for doing so was to accelerate our Agenetic AI roadmap. If you've been on LinkedIn, you've definitely been lambasted with post after post after post of Mr. Handsome Bill McDermott's head over the advertisement for the Agenetic AI live event that is happening also next week on January 29, where specific tools are going to be debuted to the public as they are included in Yoko Hama and going forward. And all that is to say that in the seven plus years I've worked at service now, I have never, never seen a push like this for a specific trend or product before. So it begs to be asked, what is a Genetic AI? So let's talk about it and why you should care as a developer in the year 2025. I think one of the easiest ways to start communicating what something is and maybe contrasting against what it is not for starters, Agenetic AI is different from the heavily popularized generative AI. If you're going off of metaphors, it would be very wise for you to compare the element of generative AI to polling a crowd, right? Now granted that crowd is the size of probably the entire population of Earth and could react in a way that no human being ever could, but it is pretty much the same. You are asking a question to some sort of trained entity that represents an entire ecosystem of information and it is polling all that together to give you its best attempt at an answer. If you're looking for things in media that compared to this, pretty much any show where the protagonist is saying, computer, what is the that is a example of generative AI? For one, it's reactive. These computers or these algorithms or these AIs are not necessarily going off on their own. They are responding to a specific question or to a specific prompt. They are also extremely dependent on having as large and as informed of a quote unquote crowd as possible. The more data that generative AI is trained on, the more comprehensive and accurate answer that it can provide. If you're using one of the artistic rendering AIs, for example, that had only been trained on Pablo Picasso's work, asking it to create a picture of a rabbit might give you unexpected results. You would want to train on the entire work of art at the Louvre and the modern art, EZM and historical artwork, et cetera. Agenetic AI, well obviously also AI is different than this. If the media comparison for generative AIs to Batman asking his computer to find data, the Agenetic AI comparison would be like the AI from the movie Her with Ockin Phoenix or the AI in the episodes revolving around cookies in Black Mirror. Unfortunately, all the examples of a Genetic AI in media are not the nicest. So please don't let that cloud your judgment, but that's oftentimes how it is used in sci-fi. The first stark difference is a Genetic AI is proactive, not reactive. It not only can anticipate what work or what things need to be automated, but can also improve the process as it acts upon it over time. And this is all without being asked to do so. In addition to this, a Genetic AI is much less dependent on the size and variety of the information that it's trained off of. You could have an agenda AI that's trained off of all the world's knowledge of workflow automation, for example. However, let's say that as a customer, you would want an agentic AI system that acts a lot specifically like service now. In that case, in point, you would train it specifically off of service now workflows, service now behavior service now's architecture. And therein lies the real distinction. This is just the beginning of a Genetic AI moving into the market. I think moving forward, you will see it branch off into much more specifically trained agents than something that is overall holistic in its response. It is a very likely reality that in the future moving forward, not only will you be doing your job, but you might have to specifically trained, a Genetic AI clones of your work behavior, helping you remove the minutia from your day. Now, obviously that is much further down the line that we are at right now. So what does this actually mean for the service now platform as it exists in Yokohama? Now, I'm a little bit ahead of the game. We will list out the specific functionality for our Genetic AI release on January 29th again, link below to please register for that event. But I think the first thing I need to do is provide some clarity as the nomenclature of this release has people a bit confused with the interface that it's using in the screenshots as well as this name as AI agents. A lot of people have been popularizing the notion that it's something to do with virtual agent like it's a beefier version of virtual agent, which could not be farther from the truth in virtual agent. You are specifically designing conversations and exactly the different type of outcomes that conversation could elicit. You could have a myriad of answers, but you are still specifically channeling people into predetermined buckets. And if you recall, a Genetic AI does not work in that fashion as part of its definition, a Genetic AI is a proactive independently acting entity. So there's no predetermined buckets that you would have to program into these AI agents at all. Instead, the roadmap for our AI agents looks something like this. Let's say, for example, that you work for a company's support desk team, where you do things like addressing tickets that are coming in from your customer base, resetting passwords and escalating things as they see fit. These AI agents could do exactly that completely on their own. It could not only do that around the clock and know when things were routine enough to act on its own, but it would also be smart enough to know when to escalate things for human intervention because optimally, that is the goal of AI. I will say this. AI has had to do a lot to win me over. As far as our team goes, I was one of the bigger skeptics of AI as someone very passionate about art and the human element of art. I think that is initially what triggered such a sour response to generative and subsequently a Genetic AI. But more and more with how I have seen it applied in customer use cases, the more it has turned the tide of my opinion, because I've seen what is really for the goal of AI, with regards to automation in tech in corporate America, it is not to remove the human element. It is to maximize the time for it. It is there to free us up from the countless routine types of tickets that anybody could do. RPA could do it. A really heavy flow could do it. But now we have AI agents that we don't even have to program to do it. Again, this is talking very big picture and where service now is ideally heading towards as a company moving forward. But if you would like to see what specifically AI agents can do in Yokohama, and I will tell you I was blown away by this presentation, please join the live. It's called the AI agent live launch. It is January 29th and I hope to see you there. Now to all the AI nihilists, kind of like myself out there that are saying, ah, this is another big tech trend. This is the same as, you know, putting design wizards and everything and low code and everything. It's just going to be another bump in the roller coaster of corporate America. Let me really shatter that illusion for you. Like I said initially, I have never in my seven years working here and almost 10 total working on the service now platform seen our company invest in a functionality like this. Agents, AI is not just another buzz word is not just another trend for companies to hop on and hop off as the years go by. It is a paradigm shift for what work will be in the 21st century. First, consider the scaling perspective that this offers companies. Sure, AI agents cost money. You will see that in any single platform that offers some form of agent AI moving forward. It's going to cost money. However, AI agents do cost less than another full time employee or even pops simply a part time employee. Now again, that's not as to say that everyone's going to get replaced with AI far from it. Instead imagine something like this every single team from IT to HR, having their own AI agents to handle all the grunt work people put off doing anyway so that they can appropriately scale the human element. And that's not even considering the added impact of decision making that this really offers people for anything that you do in your job. Think of the most routine thing, something that you could do with your eyes clothes in a heartbeat. AI can do it faster. Not only that, but AI can do it in the middle of the night when you're asleep or possibly when you're in the bathroom or on a work break or on PTO. AI doesn't have the human element of rest baked in. So instead of coming back from a cruise like I did with a humongous pile of stuff that really didn't take too much brain power to get through, but took a phenomenal amount of time to get caught up on. What if you came back from PTO and those types of things were already taken care of again, this might be one of the more futuristic steps of a gentick AI. But think about how it can be fine tune to match aspects of real people that have left their impact on a specific process. Let's say that you would set up a gentick AI to handle very specific routine emails a team was getting. And however, good, a gentick AI is, let's say that the responses were coming off a bit wouldn't, but maybe there's a person on your team that statistically has a pretty good rate on return on these type of emails. Maybe it's their style or the speed in which they respond or the time of day in which they do their work, but whatever that is, let's say that they statistically have the warmest response to those type of emails. The gentick AI could be trained specifically off that. It's remember, it's not generative AI. We can make this as specific and niche as possible for the processes that we're utilizing a gentick AI for. Flows and automation were the first step in abstracting away the minutia from people's everyday jobs, allowing them to do that impactful work. The only humans can do an agentic AI is just the natural next step to that process. And before closing up today's discussion about a gentick AI, I want to get a huge shout out to Earl Duke Hay on our team where I have been probably the big, the big spooky nihilist about AI. He has been the AI champion and a lot of the information today that what I've presented on is directly taken from something that he did internally for our team. So I wanted to give a shout out to him and thank him for also helping open my eyes to the prospects that agentic AI is really going to offer. Not only people on service now, but on other platforms and in the corporate ecosystem moving forward. Again, I'm going to keep hammering at home because I'm part of the marketing department. We have the AI agent launch on January 29th, 2025 at 12 p.m. Central Standard Time. So I hope to see you in the comments because I will definitely be there as well. I can't wait to see your actual live opinions on everything baked into Yokohama. Additionally, the day immediately after is tech now. So if you're like, I want to see everything relevant for admins, builders and developers, join us for that webinar. And I will again, I'll include the link to register for that webinar below. As at 10 a.m. Central Standard Time on January 30th. Also, if you've made it this far into the podcast, I have a little sweet treat for you as well. Just a reminder that historically at least there's no confirmation. I can't make any promises, but historically the most recent release available happens to go on to PDIs on EA as well, which is the day we are doing tech now. So not only should you keep your eyes and ears open for information coming out of tech now, but also be sure to keep refreshing that developer. Service now website to ensure that you are one of the first people that gets to experience Yokohama completely for free. Now we're keeping things short and sweet to start off the new year. So I want to say, thank you, wonderful listener for joining me here today. Don't forget to check out the other amazing service now podcast. You can find them on the community site under the events tab. Don't ask me why also subscribe. You can subscribe here on YouTube if you are watching the video version or as well on any podcasting provider, whether that be Spotify, Apple podcasts, et cetera. One thing I would like to start encouraging you to do is also leave us a review. If you have not ever reviewed breakpoint before, we are trying to expand the audience that is consuming it. So leaving a positive review helps us do just that. Breakpoint is brought to you by ServiceNow with me, Laura McMahon, and as the producer to find out more about the service now developer program and to get one of those Yokohama PDIs, go to developer.servicenow.com. Again, thank you so much for joining me here today, a wonderful listener. Stay hungry, stay humble, and have a fantastic start to 2025. Cheers. Please let us know what you think about this podcast. You can leave feedback or ask questions in the ServiceNow community. For more great information on ServiceNow development, check out the ServiceNow Developer Portal at developer.servicenow.com. Thanks for listening. What is a GENTIGED AI? Can't wait to see how that comes out on the video. What even is a GENTIGED AI? Little ASMR for you guys."
3,https://www.youtube.com/watch?v=7WJ6lmxa1WQ,Agentic AI workflows for AIOps,Agentic AI workflows for AIOps,ServiceNow Community,"In this episode, we explore the transformative impact of agentic AI frameworks on IT operations and AIOps with Rani Tzur, Director Product Management. Discover how agentic AI can enhance decision-maki",995.0,20250518,395.0,," Hello, everyone. Welcome to another episode of our podcast. Today we're going to dive again into an eGente AI framework and I have another technology leader with me. Ronnie Zeus joins us from Israel. Ronnie, welcome. How are you? Good, good. Thank you. How are you doing? Yes, great. And we're going to dive into awesome stuff today. He's a leader building products for AI ops for a long time bringing a lot of new innovations. I'm really excited to have him on this podcast. Before we dive in, Ronnie, tell me a little bit about the you use Gini TVI in your world. Of course you do. You're making new products, but anything interesting that you do with it. Every day, they are all in our, both exploring different technologies in Gini and personally using. It's really helped me to arrange my thoughts and put together my thoughts into structure ways to make sure that the messages I'm trying to convey are clear and concise. So it's super helpful for me. Yeah, that's ready. I started to use a little bit with my kids to make different images. Try to understand their imagination, what they can imagine, and how Gini TVI tools can help them create something that they are thinking about. So let's dive right in. And I want to, you know, be a deep knowledge of machine learning in AI in a traditional way and now shifting towards agentic frameworks. How does in your world agentic AI frameworks differ from a traditional AI machine learning frameworks? Yeah. So the thing is that when you look on traditional AI and ML frameworks, mainly focus on data processing and pattern recognition and they provide insights and predictions and recommendations, but really require a human intervention for the execution. But when you look on a Gini on the other hand, it introduces a lot of autonomous and decision making entities that actually understand the environment, which is super critical in our space to understand exactly different types of data. It's also have reasoning and planning capabilities to provide solution, which is based on neither historical data or real time context. And it's able to act on behalf of people. So it could be your own copilot or your own little minion that helps you do do. And it's also has the ability to learn and adapt like any other ML and AI form from user feedback and continuously refining their decision. So this end to end actually make the agentic AI far more dynamic and and action oriented than just traditional AI models, which are focused on insights and predictions. Yeah. You're the second person who said the word copilot this week in the podcast I had. Another customer actually said that I think is a concept of, as you said, using it to create actions is really what's becoming very useful for in a daily life, but also for our customers. So let's dive in a little bit into the world we live in that is IT operations. How are you seeing agentic AI enhance the IT operations and maybe some examples of what you're working on and coming up in the near future? Yeah. So if you look on a JTNKIA, this is actually going to transform how IT operations are working today. So it's going to be more focusing on automatic decision making and execution. It will significantly reduce the manual burden on IT teams. So unlike traditional AI, which is primarily analyzed data and provide insights, the agents can autonomously act on alerts and prioritize task and even resolve issues. All while keeping operations in control. So for the IT operations, this means faster resolution because AI agents will triage, correlate and assign task in real time. It will be, you can imagine proactive issue prevention because the AI will be in the position to detect issues that indicates potential failure, potential outages and recommend on execute preventive actions. And it's also reduced the operation load because AI agents will be able to handle a lot of repetitive troubleshooting tasks and letting the operator focus on high-value problems, rather than just another task that I have to perform. So it's going to unleash the power of to empower operators to be much more focused on high-value or critical issues. Yeah, so I guess when we speak in the terms of autonomous and again, I guess we think about various ways. One is autonomous assisted human in the loop, human on the loop. All these are different ways. Customers and enterprise start to adopt it. Do you think about a maturity based on where our customers are? And how would you baseline that maturity if they want to move to an agentic framework? Yeah, so when we think about how our users, our customers will adopt this kind of a technology, what we imagine is how the agentic AI actually takes responsibility on pieces of the entire user journey of our users. So if our users are, let's say, operators or any technology owner, they have their user journey. They are facing alerts and they have to try to ask the alert, they have to investigate them, they have to find the root cause analysis of them, they have to remediate the issue, they have to escalate the issues, they have to create all sorts of tasks or records to other people. All of these tasks are parts of the user journey they are doing on their day to day and we can imagine AI agents take full control over pieces of that journey, but taking full control, nothing the matter of replacing the user, but actually empowering the users because the AI agent will be able to collect the data, analyze the data and bring the bottom line and the decision to the user to take the decision. So the user can decide or let the AI agent do everything automatically or decide to be the one that is taking the decision for each and every step. So it's kind of saving the time of our users from doing the repetitive tasks and doing the deep level investigation and just provide the bottom line to the user and ask them for their approval or the decision. So the agent can continuously do the task for them in an automatic way. I want to like what our CEO Bill McDermott says is we are building agents in the agents in service of humans. So I think that says a lot about the maturity of our customers as they adopted. One question that comes up as we are experimenting with different large language models is there are so many out there now and there are benchmarks so they're right sometimes the entropic lot comes out really well on when coding tasks are asked. Our deep seek actually brought a very good reasoning techniques and we have the GPT models and the mini models doing really good reasoning. So in your world as you're developing new products, how do you see these different models come together to solve specific problems or use cases? Yeah, very interesting. So what we can see is AI agent that can collaborate across multiple LLMs. So you have multiple agents that are able to collaborate and converse between them. Each AI agent is a master of a specific task or a decision. Each one of them can actually use specialized LLM to handle different tasks. So the AI agent they can call API, they can interact with observability tool, they can communicate with other agents at the end of the day each one of them is specialized in at certain tasks. So and each one of them can can work across different LLMs. So the kind of approach that we are taking is that AI agents are integrating across different products, across different domains that are used different LLMs according to their specialized model. And this goal is actually maximizing the AI efficiency while ensuring seamless collaboration between agents and users. Cool. Let's let's try down an example maybe in operations world. As you said before, triaging is really important. Outage, deduction time to detect an outage and then remediate that outage is really important for all the idea operations leaders. So if you think about that scenario that we live in day and day out, how would you need to take framework help that? Yeah. So let's talk about first about our user. Let's imagine an operator that is bombed with dozens or hundreds of alerts a day covering different technologies, different services and applications. They have a real real trouble to understand exactly what is in priority, what is the impact of the issues, does it even matter to anyone? And then after realizing the priority of it, they have to understand the impact of it and what exactly is the issue and how to remediate that. And now imagine that these operators are not always have access to all the different observability tools and they they're not necessarily the one expert in a certain technology. So the AI agents by using different AI agents and integrating and integrating also with potentially external AI vendors or external observability tools with very were able to using this AI agent to process all these information and provide the operator the bottom line of it, which means what is the issue, what is the impact of the issue, who is impacted by the issue and what is usually being done in such cases. Now you have different AI's that are collaborating with each other, each is providing their own insight into it. And then we can actually bring the bottom line plus the action to the user. For example, an action could be do you want me to create an incident for you, the user, or do you want me just to close this alert because it's not that impactful or do you want me to run an automation which is pre-made in our system for you. So the thing is that instead of the user going search and find and ask for people to access to certain tools, the AI agents will do that for them and will bring the insight plus the action to perform instead of them. So it's imagine that the operator instead of just looking on a bunch of alerts, they will look only on the high impacting one, the one that requires manual intervention, the one that requires some level of escalation and all the repetitive tasks will be done for them. Yeah, one thing that you mentioned is so crucial as the enterprises use a regional platform is ability for them to harness the real time and the historical data that is present already in the platform as you mentioned, incidents, changes, problems, and knowledge that is already available to them. The ability for us to provide that real-time monitoring and you know and and cobble that together all of it in a very seamless fashion. And as we building new data fabrics and ability to bring rapid D.P. So we have multiple sets of data, right? I mean in a lot of times we are looking at monitoring discovery data but then there are other sets of data, maybe present in data lakes that may be able to help with this reaging, right? I mean do you think that could also happen in the future? Definitely, you know, you'll have specialized agent in for example finding the right knowledge base article instead of the user going in search for knowledge base articles, reading tons of them just to understand which one is the one relevant. You'll have an agent do that for them and just will provide them the bottom line and summarize kind of a summary of the relevant KBR articles with the exact steps. It could be also an external body of knowledge. It could be an external website which is coming with the industry knowledge. It could be something which we are passing from the resolution notes of past incidents or some relevant changes that happened recently or for something from observability tools. All of that you'll have different agents providing all these insights. Of course not each one of them is relevant for each and every issue. Everything will be orchestrated. So only the most meaningful and the bottom line will be surface to the user with the actual outcome instead of, you know, instead of taking data from all of the places is just bomb the user with all with tons of data. We will just process everything and provide him the bottom line of it. Sure. Blocked on pack here and you're working diligently on this new development. So, you know, we'll bring you back here a lot more of these agents released. Anything you want to tell our customers and who are looking to get into this space in terms of how they can get involved or any other things that we, you know, any outcomes that we didn't talk about that you want to say. Yeah. So a lot of times I'm being asked like, okay, what, why should I do that? What would be the outcome? Why should I invest in adopting AI into my organization? Because it's a big change, right? We need to train our users to now interact with AI to understand exactly the recommendations that are coming with AI to interact with AI to give to provide feedback for AI. There's a lot of, oh, a lot of adoption exercise that has to occur with our customers. And what we are telling our customers is that we need to be focused on the outcomes. What are we going to, what are you going to gain by using it? And it's all it's down to the standard KPIs like increasing the productivity of your users, the manual burden of different, you know, different tasks, being much more proactive and predictive operations. And obviously to lower the MTTR and maybe eliminate at different outages. With this capability, imagine that instead of having a group of 10 operators, you're actually going to multiply that by the number of agents that are going to work and you're not going to hire more and more people to perform more and more tasks. You're just going to delegate a lot to the AI and then your human users will be the one that are going to supervise the AI. Imagine that the new operator will be the one to supervise on AI agents. So instead of being hammered by, you know, different alerts, there will be the one to make sure that the AI is doing the work for them and it will be focusing on the meaningful work. So you're going to multiply your operations just by delegating more and more capabilities to AI. Awesome. And we will leave your contact information as well in this podcast so people can reach out. And I think a plug for everyone is if you want to get involved, you can be an early adopter program. The things that we have done since last year in the IT operations management product helps you accelerate the adoption rates. So you don't have to wait for a certain, you know, CMDB population or generally if you try to look at the data hygiene, you don't have to wait, right? So for all those things, you can adopt these capabilities quickly, experiment and test them right away in matter of peaks without waiting for a longer adoption cycle. And then if you have a high rate data, you want to bring it in, as I said, we have not only the monitoring capabilities to inject that information, but also the data fabric to bring in various data stores. With that, Ronnie, thanks for being here. I know it's very late for you. So thanks for being a great sport. Always a pleasure. And let's get you back here soon. But thanks for coming on board and thanks for your listening."
