timestamp,notebook,query,model_answer,em,f1,rougeL,bleu
2025-07-03T08:31:05.789015,03a_model_test_distilgpt2,What is ITSM in ServiceNow?,or the platform ui which you call one that difference the third difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that difference the fourth difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that difference the fourth difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that difference the fourth difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that difference the fourth difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that difference the fourth difference is these feature where you want to show some a auto populate some a recommended these two is also not you available in our native ui or the platform ui which you call one that,0,0.0364741641337386,0.06079027355623101,0.23045267489711935
2025-07-03T08:31:24.194369,03a_model_test_distilgpt2,Explain CMDB relationships.,for the next step but it's the only way to get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where I am already a PowerShell user so I don't need to have the same experience but I can get to that point where,0,0.02366863905325444,0.029585798816568042,0.17959183673469387
2025-07-03T08:31:43.205718,03a_model_test_distilgpt2,How does Incident Management work?,"in the original series.
The service is being marketed by the company as a “adventure management” approach and also as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach and also as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach and also as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach.
In this case, the service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach. The service is being marketed by the company as a “adventure management” approach.",0,0.045283018867924525,0.1283018867924528,0.3742690058479532
2025-07-03T10:14:37.132553,3c_model_test_flat-t5-base,What is ITSM in ServiceNow?,event management integration,0,0.0,0.0,0.0
2025-07-03T10:14:48.318121,3c_model_test_flat-t5-base,Explain CMDB relationships.,a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a. a.,0,0.0,0.0,0.0
2025-07-03T10:14:49.472000,3c_model_test_flat-t5-base,How does Incident Management work?,proactive versus reactive,0,0.0,0.0,0.0
2025-07-03T10:35:14.958368,3c_model_test_flat-t5-large,What is ITSM in ServiceNow?,event management,0,0.0,0.0,0.0
2025-07-03T10:35:27.413885,3c_model_test_flat-t5-large,Explain CMDB relationships.,The information that we have within the CMDB and sort of like the workflow and post mortems and like previous incident and alert and we can marry that together and give the operator sort of like the best suggestion on what the next step should be,0,0.05755395683453237,0.07194244604316548,0.21739130434782608
2025-07-03T10:35:30.527310,3c_model_test_flat-t5-large,How does Incident Management work?,proactive versus reactive,0,0.0,0.0,0.0
2025-07-03T10:15:54.396464,3b_model_test_mistral7B,What is ITSM in ServiceNow?,"ITSM stands for IT Service Management in ServiceNow. It refers to the practices, processes, and tools used by organizations to effectively deliver and manage technology services to support their business operations. In the context of ServiceNow, ITSM includes modules such as Incident Management, Problem Management, Change Management, and Service Catalog to help organizations automate and improve their IT service delivery and support functions.",0,0.25503355704697983,0.3087248322147651,0.5555555555555556
2025-07-03T10:19:23.877274,3b_model_test_mistral7B,Explain CMDB relationships.,"A Configuration Management Database (CMDB) is a system of record for managing configurations in an IT infrastructure. In the context of ServiceNow, the CMDB can be extended using advanced data processing techniques such as Data Fabric and RAPID-RB to handle various data structures and formats. The relationships in a CMDB can be thought of as a knowledge graph, where the connections between different elements represent the relationships between them. For instance, an alert in ITOM can be matched with information from the CMDB, such as previous incidents and workflows, to suggest the best next steps for an operator. Even if an organization doesn't have a fully developed CMDB, this approach can still be effective, as it is decoupled from having a perfect CMDB. In the future, specialized agents could be employed to find the most relevant knowledge base articles or external sources of industry knowledge to provide insights for resolving issues.",0,0.11475409836065574,0.09836065573770492,0.24503311258278146
2025-07-03T10:22:35.276911,3b_model_test_mistral7B,How does Incident Management work?,"In IT Service Management (ITSM), Incident Management refers to a process aimed at restoring normal operations as soon as possible by minimizing the negative effect on business operations and end-users. The process begins with recognizing a change in the IT infrastructure or services, which triggers a specific use case. Each use case consists of multiple agents designed to perform specific tasks. For instance, the Cost Analysis Agent retrieves portfolio cost information, Rationalization Agent identifies potential candidates for resolution, and Action Agent creates demand records. These agents leverage a simple prompt language to understand and prioritize issues based on their impact and severity. By enabling integration with various monitoring tools, ITOM acts as a central hub for managing incidents across complex hybrid cloud environments, allowing organizations to transition from a reactive incident management culture to a proactive, predictive approach.",0,0.15517241379310345,0.15517241379310345,0.2753623188405797
